unit,segment,start_ms,harmonic,frequency_start_hz,frequency_end_hz,amplitude_start,amplitude_end,phase_rad,role
ㄱㅐ,voicing_onset,40.0,7,3080.0,3080.0,0.14834648,0.54991203,3.82114738,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,8,3520.0,3520.0,0.41206582,0.12647982,1.36735865,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,9,3960.0,3960.0,0.41027189,0.36097372,0.87001369,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,10,4400.0,4400.0,0.11563549,0.40567654,3.89386134,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,11,4840.0,4840.0,0.04979995,0.11604451,5.95000981,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,12,5280.0,5280.0,0.04469028,0.04814593,5.31410053,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,13,5720.0,5720.0,0.03686106,0.03760175,1.97343178,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,14,6160.0,6160.0,0.03322853,0.03388195,5.77805766,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,15,6600.0,6600.0,0.02916908,0.02974265,1.28934004,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,16,7040.0,7040.0,0.02821081,0.02876554,2.10212126,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,17,7480.0,7480.0,0.02064602,0.02105199,0.84339015,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,18,7920.0,7920.0,0.01927468,0.0196537,1.63973806,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,19,8360.0,8360.0,0.01763625,0.01798304,3.83741395,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,20,8800.0,8800.0,0.016654,0.01698148,5.9962831,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,21,9240.0,9240.0,0.01335316,0.01361573,1.44805982,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,22,9680.0,9680.0,0.01242779,0.01267217,3.55788906,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,23,10120.0,10120.0,0.0104228,0.01062775,2.45533758,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,24,10560.0,10560.0,0.0098934,0.01008794,3.34972688,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,25,11000.0,11000.0,0.0061189,0.00623923,4.38116286,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,26,11440.0,11440.0,0.00562023,0.00573075,3.33414896,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,27,11880.0,11880.0,0.0046095,0.00470014,5.50068742,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,28,12320.0,12320.0,0.00409013,0.00417055,1.03106281,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,29,12760.0,12760.0,0.0034789,0.0035473,2.89069991,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,30,13200.0,13200.0,0.00323636,0.0033,0.62044806,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,31,13640.0,13640.0,0.00287036,0.0029268,3.04362548,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,32,14080.0,14080.0,0.00260881,0.0026601,2.04617342,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,33,14520.0,14520.0,0.00223953,0.00228357,4.19953494,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,34,14960.0,14960.0,0.00189136,0.00192855,0.31781362,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,35,15400.0,15400.0,0.00173671,0.00177086,2.74950917,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,36,15840.0,15840.0,0.00163959,0.00167183,4.06332945,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,F1,600,840,0.058,0.058,0.88251502,clarity_formant_anchor
ㄱㅐ,voicing_onset,40.0,F2,2350,2850,0.049,0.049,4.69357932,clarity_formant_anchor
ㄱㅐ,voicing_onset,40.0,F3,3750,4250,0.031,0.031,2.62554627,clarity_formant_anchor
ㄱㅐ,vowel_body,87.977,1,440.0,440.0,0.14179468,0.14179468,2.65560439,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,2,880.0,880.0,0.91202095,0.91202095,5.35898236,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,3,1320.0,1320.0,0.11208703,0.11208703,3.24187063,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,4,1760.0,1760.0,0.10455611,0.10455611,0.09690233,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,5,2200.0,2200.0,0.12265346,0.12265346,5.74491876,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,6,2640.0,2640.0,0.66308902,0.66308902,1.94762771,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,7,3080.0,3080.0,0.55318409,0.55318409,4.2456953,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,8,3520.0,3520.0,0.12961525,0.12961525,0.07878574,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,9,3960.0,3960.0,0.3596697,0.3596697,5.20019656,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,10,4400.0,4400.0,0.39677159,0.39677159,4.66695739,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,11,4840.0,4840.0,0.11546639,0.11546639,0.49618649,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,12,5280.0,5280.0,0.04720669,0.04720669,2.81014394,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,13,5720.0,5720.0,0.03675691,0.03675691,1.16256591,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,14,6160.0,6160.0,0.0341955,0.0341955,0.74774364,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,15,6600.0,6600.0,0.02986467,0.02986467,2.55086671,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,16,7040.0,7040.0,0.02892638,0.02892638,0.38665525,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,17,7480.0,7480.0,0.02182514,0.02182514,4.79458962,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,18,7920.0,7920.0,0.0198481,0.0198481,0.35558283,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,19,8360.0,8360.0,0.01814236,0.01814236,4.21283009,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,20,8800.0,8800.0,0.01699213,0.01699213,2.79399211,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,21,9240.0,9240.0,0.01389062,0.01389062,0.11412338,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,22,9680.0,9680.0,0.01265798,0.01265798,4.99660819,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,23,10120.0,10120.0,0.01042227,0.01042227,3.04719104,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,24,10560.0,10560.0,0.01025276,0.01025276,1.65709193,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,25,11000.0,11000.0,0.00626681,0.00626681,2.24478225,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,26,11440.0,11440.0,0.00585451,0.00585451,5.23549031,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,27,11880.0,11880.0,0.00471299,0.00471299,3.06753473,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,28,12320.0,12320.0,0.00422147,0.00422147,2.42783105,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,29,12760.0,12760.0,0.00352133,0.00352133,0.5310847,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,30,13200.0,13200.0,0.00330933,0.00330933,1.15992639,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,31,13640.0,13640.0,0.00288365,0.00288365,2.01885941,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,32,14080.0,14080.0,0.0027041,0.0027041,1.60740761,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,33,14520.0,14520.0,0.00223015,0.00223015,0.66118345,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,34,14960.0,14960.0,0.00195812,0.00195812,3.40498223,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,35,15400.0,15400.0,0.00179838,0.00179838,6.05518513,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,36,15840.0,15840.0,0.0016238,0.0016238,0.08347505,clear_assertive_harmonic
ㄱㅐ,vowel_body,87.977,F1,840,840,0.058,0.058,0.88187322,clarity_formant_anchor
ㄱㅐ,vowel_body,87.977,F2,2850,2850,0.049,0.049,1.64611584,clarity_formant_anchor
ㄱㅐ,vowel_body,87.977,F3,4250,4250,0.031,0.031,3.22014556,clarity_formant_anchor
ㄱㅑ,voicing_onset,40.0,1,440.0,440.0,0.6748168,1.08295431,0.74193226,clear_assertive_harmonic
