vowel,harmonic,frequency_hz,base_ratio_h1_1,band_multiplier,final_normalized_amplitude,role
ㅣ,27,11880.0,0.068,0.68,0.00501485,anti_metallic_tail
ㅣ,28,12320.0,0.062,0.68,0.00447246,anti_metallic_tail
ㅣ,29,12760.0,0.057,0.68,0.00374746,anti_metallic_tail
ㅣ,30,13200.0,0.052,0.68,0.00345431,anti_metallic_tail
ㅣ,31,13640.0,0.048,0.68,0.00309656,anti_metallic_tail
ㅣ,32,14080.0,0.044,0.68,0.00284057,anti_metallic_tail
ㅣ,33,14520.0,0.04,0.68,0.00241934,anti_metallic_tail
ㅣ,34,14960.0,0.037,0.68,0.00208743,anti_metallic_tail
ㅣ,35,15400.0,0.034,0.68,0.00189008,anti_metallic_tail
ㅣ,36,15840.0,0.031,0.68,0.00175006,anti_metallic_tail
