alias,syllable,onset,vowel,variant,file,duration_s,peak,rms,crest_db,zero_crossing_rate,spectral_centroid_hz,energy_ratio_above_4khz
ㄸㅏ,따,ㄸ,ㅏ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\따.wav,0.41,0.86116314,0.30778826,8.93666752,0.09214602,2764.62225086,0.18054397
ㄸㅐ,때,ㄸ,ㅐ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\때.wav,0.41,0.85995483,0.23182019,11.38648782,0.12964602,2998.59790033,0.23850413
ㄸㅐ,때,ㄸ,ㅐ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\때.wav,0.41,0.86227873,0.27577173,9.90195861,0.13108407,2998.69043715,0.23973333
ㄸㅑ,땨,ㄸ,ㅑ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\땨.wav,0.41,0.85995483,0.25607259,10.52225094,0.11150442,2989.51370338,0.25790902
ㄸㅑ,땨,ㄸ,ㅑ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\땨.wav,0.41,0.85660899,0.30055894,9.09705942,0.11504425,3038.32003009,0.26041206
ㄸㅒ,떄,ㄸ,ㅒ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\떄.wav,0.41,0.85995483,0.23385747,11.31048796,0.11482301,3085.61124424,0.27570316
ㄸㅒ,떄,ㄸ,ㅒ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\떄.wav,0.41,0.86084097,0.27575625,9.88795124,0.11736726,3075.49344847,0.2694246
ㄸㅓ,떠,ㄸ,ㅓ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\떠.wav,0.41,0.85995483,0.2602609,10.38133436,0.09955752,2545.50062375,0.14542628
ㄸㅓ,떠,ㄸ,ㅓ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\떠.wav,0.41,0.86450452,0.30065291,9.1740371,0.10265487,2511.26880837,0.1416984
ㄸㅔ,떼,ㄸ,ㅔ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\떼.wav,0.41,0.85995483,0.20981155,12.25292515,0.12190265,3066.79571416,0.25988455
ㄸㅔ,떼,ㄸ,ㅔ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\떼.wav,0.41,0.86148905,0.25237145,10.66419069,0.12533186,3009.24873871,0.2503269
ㄸㅕ,뗘,ㄸ,ㅕ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뗘.wav,0.41,0.85995483,0.26471556,10.23392352,0.09612832,2971.87644769,0.24715048
ㄸㅕ,뗘,ㄸ,ㅕ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뗘.wav,0.41,0.86177681,0.31186029,8.82869456,0.09933628,3001.16783422,0.24789995
ㄸㅖ,뗴,ㄸ,ㅖ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뗴.wav,0.41,0.85995483,0.26809219,10.12382953,0.12201327,3189.46950414,0.29117607
ㄸㅖ,뗴,ㄸ,ㅖ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뗴.wav,0.41,0.8580482,0.31444566,8.71932151,0.125,3283.7871713,0.29534376
ㄸㅗ,또,ㄸ,ㅗ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\또.wav,0.41,0.85995483,0.255659,10.5362912,0.10165929,2376.25990961,0.13972717
ㄸㅗ,또,ㄸ,ㅗ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\또.wav,0.41,0.8636959,0.29908237,9.21140084,0.10243363,2348.56399038,0.1414446
ㄸㅘ,똬,ㄸ,ㅘ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\똬.wav,0.41,0.85995483,0.235981,11.23197195,0.08086283,2290.21408329,0.13544302
ㄸㅘ,똬,ㄸ,ㅘ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\똬.wav,0.41,0.86559496,0.27703271,9.89567333,0.08384956,2228.65251475,0.12897393
ㄸㅙ,뙈,ㄸ,ㅙ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뙈.wav,0.41,0.85995483,0.23882494,11.12791924,0.10088496,2431.75390426,0.14818799
ㄸㅙ,뙈,ㄸ,ㅙ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뙈.wav,0.41,0.86345677,0.28366747,9.66862126,0.10403761,2414.56808617,0.1503627
ㄸㅚ,뙤,ㄸ,ㅚ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뙤.wav,0.41,0.85995483,0.24354372,10.95797407,0.08893805,2580.52209879,0.17276145
ㄸㅚ,뙤,ㄸ,ㅚ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뙤.wav,0.41,0.86203408,0.28413353,9.64003894,0.0914823,2543.35178268,0.17086732
ㄸㅛ,뚀,ㄸ,ㅛ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뚀.wav,0.41,0.85995483,0.26865003,10.10577505,0.11238938,2951.88807395,0.24916352
ㄸㅛ,뚀,ㄸ,ㅛ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뚀.wav,0.41,0.86010143,0.31175065,8.81484609,0.11504425,3020.10176403,0.25749972
ㄸㅜ,뚜,ㄸ,ㅜ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뚜.wav,0.41,0.85995483,0.25104451,10.69449842,0.07433628,2367.15269663,0.12183616
ㄸㅜ,뚜,ㄸ,ㅜ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뚜.wav,0.41,0.86189018,0.29887993,9.19910363,0.07693584,2300.28544986,0.11650806
ㄸㅝ,뚸,ㄸ,ㅝ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뚸.wav,0.41,0.85995483,0.25284402,10.63245922,0.08307522,2370.94498446,0.12305481
ㄸㅝ,뚸,ㄸ,ㅝ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뚸.wav,0.41,0.86399048,0.29605998,9.30258491,0.08655973,2354.35159568,0.125063
ㄸㅞ,뛔,ㄸ,ㅞ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뛔.wav,0.41,0.85995483,0.22486422,11.65110567,0.10586283,2473.52522309,0.16525785
ㄸㅞ,뛔,ㄸ,ㅞ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뛔.wav,0.41,0.86361264,0.26743984,10.18185764,0.10940265,2445.30896144,0.16459849
ㄸㅟ,뛰,ㄸ,ㅟ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뛰.wav,0.41,0.85995483,0.29673453,9.24215117,0.10376106,2582.43056108,0.17832041
ㄸㅟ,뛰,ㄸ,ㅟ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뛰.wav,0.41,0.86351577,0.34484847,7.97283934,0.10735619,2549.6399078,0.17508231
ㄸㅠ,뜌,ㄸ,ㅠ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뜌.wav,0.41,0.85995483,0.31111759,8.83102163,0.09856195,2805.05825205,0.23703392
ㄸㅠ,뜌,ㄸ,ㅠ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뜌.wav,0.41,0.86094841,0.35878433,7.60287307,0.10221239,2862.30047172,0.24371218
ㄸㅡ,뜨,ㄸ,ㅡ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\뜨.wav,0.41,0.85995483,0.30109702,9.11538362,0.10154867,2845.78368928,0.20060665
ㄸㅡ,뜨,ㄸ,ㅡ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\뜨.wav,0.41,0.86170666,0.34945443,7.83937806,0.10486726,2844.78964947,0.2012937
ㄸㅢ,띄,ㄸ,ㅢ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\띄.wav,0.41,0.85995483,0.2180076,11.92008018,0.1085177,2825.7670226,0.21554744
ㄸㅢ,띄,ㄸ,ㅢ,soft,detailed_voicebank\04_all_399_soft_female\ㄸ\띄.wav,0.41,0.86043422,0.25873657,10.43719706,0.11034292,2772.57756108,0.20900393
